n,predicted_prime_at,is_prime,is_prime_next,Phi_cent,Phi_choice,Spike_basic,RuptureSpike,Peak_ok,GateC,FinalSpike
708,709,False,True,0.995523906408952,0.995523906408952,True,True,True,True,True
712,713,False,False,0.994716521032310,0.994716521032310,True,True,True,False,False
718,719,False,True,0.994311255587160,0.994311255587160,True,True,True,True,True
726,727,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
730,731,False,False,0.992416034669556,0.992416034669556,True,True,True,False,False
732,733,False,True,0.995523906408952,0.995523906408952,True,True,True,True,True
736,737,False,False,0.995121951219512,0.995121951219512,True,True,True,False,False
738,739,False,True,0.995523906408952,0.995523906408952,True,True,True,True,True
742,743,False,True,0.994577006507592,0.994577006507592,True,True,True,True,True
750,751,False,True,0.995767540289761,0.995767540289761,True,True,True,True,True
756,757,False,True,0.995929995929996,0.995929995929996,True,True,True,True,True
760,761,False,True,0.995442708333333,0.995442708333333,True,True,True,True,True
766,767,False,False,0.991883116883117,0.991883116883117,True,True,True,False,False
768,769,False,True,0.996203904555314,0.996203904555314,True,True,True,True,True
772,773,False,True,0.995121951219512,0.995121951219512,True,True,True,True,True
778,779,False,False,0.992691839220463,0.992691839220463,True,True,True,False,False
780,781,False,False,0.995438996579247,0.995438996579247,True,True,True,False,False
786,787,False,True,0.995117982099268,0.995117982099268,True,True,True,True,True
792,793,False,False,0.995659251220836,0.995659251220836,True,True,True,False,False
796,797,False,True,0.994581414250881,0.994581414250881,True,True,True,True,True
798,799,False,False,0.995520260639381,0.995520260639381,True,True,True,False,False
802,803,False,False,0.992691839220463,0.992691839220463,True,True,True,False,False
808,809,False,True,0.995527546249238,0.995527546249238,True,True,True,True,True
810,811,False,True,0.996200814111262,0.996200814111262,True,True,True,True,True
816,817,False,False,0.995659251220836,0.995659251220836,True,True,True,False,False
820,821,False,True,0.994712222900142,0.994712222900142,True,True,True,True,True
822,823,False,True,0.995659251220836,0.995659251220836,True,True,True,True,True
826,827,False,True,0.994036324207102,0.994036324207102,True,True,True,True,True
828,829,False,True,0.996092478020189,0.996092478020189,True,True,True,True,True
838,839,False,True,0.992691839220463,0.992691839220463,True,True,True,True,True
840,841,False,False,0.995926680244399,0.995926680244399,True,True,True,False,False
850,851,False,False,0.995117982099268,0.995117982099268,True,True,True,False,False
852,853,False,True,0.995523906408952,0.995523906408952,True,True,True,True,True
856,857,False,True,0.994716521032310,0.994716521032310,True,True,True,True,True
858,859,False,True,0.995926680244399,0.995926680244399,True,True,True,True,True
862,863,False,True,0.993501218521527,0.993501218521527,True,True,True,True,True
868,869,False,False,0.994712222900142,0.994712222900142,True,True,True,False,False
870,871,False,False,0.995114006514658,0.995114006514658,True,True,True,False,False
876,877,False,True,0.994712222900142,0.994712222900142,True,True,True,True,True
